id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1221601,Charming Apartment with balcony,6655895,Sylvie,,Batignolles-Monceau,48.88638803595801,2.31998571141618,Private room,90,4,0,,,1,324
7893016,Nice and cosy appart in 17th,41614126,Ker,,Batignolles-Monceau,48.89544706100573,2.3212107687379944,Entire home/apt,65,1,0,,,1,365
13148501,Between Champs Elysees & Montmartre,18990153,Loic,,Batignolles-Monceau,48.88220165337092,2.317495820392982,Entire home/apt,58,2,2,2016-06-27,2,1,14
7375976,FAMILY APT. NEXT TO ARC DE TRIOMPHE,38641024,Marc,,Batignolles-Monceau,48.88167986531284,2.301158670392851,Entire home/apt,230,1,0,,,1,0
1197073,Cosy studio close to Champs Elysées,6540059,Grégor,,Batignolles-Monceau,48.88032033176174,2.299247060256797,Entire home/apt,140,2,2,2013-09-11,0.06,2,210
13010041,Nice apartment  17ème district .,71775508,Philippe,,Batignolles-Monceau,48.890640385667744,2.31631187861101,Shared room,65,1,0,,,1,365
3571844,Big Family Apt in 17th/Parc Monceau,8226623,Deborah,,Batignolles-Monceau,48.88123708952527,2.313029095884588,Entire home/apt,476,1,0,,,1,0
4615132,Appartement familial 3 chambres,14406806,Sander,,Batignolles-Monceau,48.87849385304652,2.2881110173414676,Entire home/apt,276,2,11,2016-05-20,0.57,1,363
13004596,Cosy flat near Champs Elysées,9967393,Lilou,,Batignolles-Monceau,48.88053822942921,2.2933545443128756,Entire home/apt,140,1,0,,,2,365
2014358,Beautiful apt for 2,10360305,Lorraine,,Batignolles-Monceau,48.88692456851354,2.292037075530218,Entire home/apt,120,1,0,,,1,211
11015479,Joli 2 pièces quartier commerçant,43521282,Jérémy,,Batignolles-Monceau,48.87866997063106,2.297122970274479,Entire home/apt,70,4,3,2016-06-23,0.62,1,31
9092084,nice single room quiet area,47406231,Famille N,,Batignolles-Monceau,48.88858974328293,2.305467124249643,Entire home/apt,34,2,10,2016-06-04,1.29,1,351
9878424,Le charme au coeur des Batignolles,49981983,Eloi,,Batignolles-Monceau,48.88866448489015,2.3208145569202148,Entire home/apt,60,2,3,2016-06-16,0.86,1,357
9878554,Smart stay close to Champs Elysées,37805693,Sylvie,,Batignolles-Monceau,48.88268390968545,2.2949142052318523,Entire home/apt,95,2,1,2016-06-05,1,1,363
704672,Comfortable flat - Paris Lévis,3619762,Edouard,,Batignolles-Monceau,48.88428510541612,2.314547644167945,Entire home/apt,171,3,12,2016-04-08,0.27,1,365
7629836,charmant 2 pièces cosy ensoleillé,24475232,Anne-Lise,,Batignolles-Monceau,48.88309057713947,2.31740223920615,Entire home/apt,70,1,0,,,1,0
